city,time,temperature,longtitude,latitude
Algiers,2023-06-06T09:00,22.8,3.0601882,36.7753606
Annaba,2023-06-06T09:00,22.3,7.7549272,36.8982165
Batna,2023-06-06T09:00,17.9,6.1767747,35.5544227
Tamanrasset,2023-06-06T09:00,30.5,5.5324465,22.7854543
Tlemcen,2023-06-06T09:00,23.0,-1.316699,34.881789
Algiers,2023-06-06T09:00,22.8,3.0601882,36.7753606
Annaba,2023-06-06T09:00,22.3,7.7549272,36.8982165
Batna,2023-06-06T09:00,17.9,6.1767747,35.5544227
Tamanrasset,2023-06-06T09:00,30.5,5.5324465,22.7854543
Tlemcen,2023-06-06T09:00,23.0,-1.316699,34.881789
Algiers,2023-06-06T09:00,22.8,3.0601882,36.7753606
Annaba,2023-06-06T09:00,22.3,7.7549272,36.8982165
Batna,2023-06-06T09:00,17.9,6.1767747,35.5544227
Tamanrasset,2023-06-06T09:00,30.5,5.5324465,22.7854543
Tlemcen,2023-06-06T09:00,23.0,-1.316699,34.881789
Algiers,2023-06-06T09:00,22.8,3.0601882,36.7753606
Annaba,2023-06-06T09:00,22.3,7.7549272,36.8982165
Batna,2023-06-06T09:00,17.9,6.1767747,35.5544227
Tamanrasset,2023-06-06T09:00,30.5,5.5324465,22.7854543
Tlemcen,2023-06-06T09:00,23.0,-1.316699,34.881789
